region,location_type,gernder,age,education,count
Брестская,Город,Мужской,18-30,Высшее,15314
Брестская,Город,Мужской,18-30,Среднее специальное,29529
Брестская,Город,Мужской,18-30,Профессионально-техническое,15807
Брестская,Город,Мужской,18-30,Базовое / Среднее общее (школа),35066
Брестская,Город,Мужской,18-30,Другое,389
Брестская,Город,Мужской,31-40,Высшее,14477
Брестская,Город,Мужской,31-40,Среднее специальное,22848
Брестская,Город,Мужской,31-40,Профессионально-техническое,9600
Брестская,Город,Мужской,31-40,Базовое / Среднее общее (школа),16860
Брестская,Город,Мужской,31-40,Другое,218
Брестская,Город,Мужской,41-50,Высшее,14054
Брестская,Город,Мужской,41-50,Среднее специальное,22031
Брестская,Город,Мужской,41-50,Профессионально-техническое,9578
Брестская,Город,Мужской,41-50,Базовое / Среднее общее (школа),19776
Брестская,Город,Мужской,41-50,Другое,164
Брестская,Город,Мужской,51-60,Высшее,12553
Брестская,Город,Мужской,51-60,Среднее специальное,15616
Брестская,Город,Мужской,51-60,Профессионально-техническое,7191
Брестская,Город,Мужской,51-60,Базовое / Среднее общее (школа),19664
Брестская,Город,Мужской,51-60,Другое,286
Брестская,Город,Мужской,старше 60,Высшее,9097
Брестская,Город,Мужской,старше 60,Среднее специальное,9157
Брестская,Город,Мужской,старше 60,Профессионально-техническое,3800
Брестская,Город,Мужской,старше 60,Базовое / Среднее общее (школа),16131
Брестская,Город,Мужской,старше 60,Другое,6015
Брестская,Город,Женский,18-30,Высшее,23393
Брестская,Город,Женский,18-30,Среднее специальное,30723
Брестская,Город,Женский,18-30,Профессионально-техническое,8416
Брестская,Город,Женский,18-30,Базовое / Среднее общее (школа),32773
Брестская,Город,Женский,18-30,Другое,278
Брестская,Город,Женский,31-40,Высшее,20457
Брестская,Город,Женский,31-40,Среднее специальное,29490
Брестская,Город,Женский,31-40,Профессионально-техническое,7003
Брестская,Город,Женский,31-40,Базовое / Среднее общее (школа),12315
Брестская,Город,Женский,31-40,Другое,158
Брестская,Город,Женский,41-50,Высшее,18826
Брестская,Город,Женский,41-50,Среднее специальное,32841
Брестская,Город,Женский,41-50,Профессионально-техническое,8083
Брестская,Город,Женский,41-50,Базовое / Среднее общее (школа),17190
Брестская,Город,Женский,41-50,Другое,145
Брестская,Город,Женский,51-60,Высшее,14801
Брестская,Город,Женский,51-60,Среднее специальное,27261
Брестская,Город,Женский,51-60,Профессионально-техническое,6764
Брестская,Город,Женский,51-60,Базовое / Среднее общее (школа),21160
Брестская,Город,Женский,51-60,Другое,334
Брестская,Город,Женский,старше 60,Высшее,10876
Брестская,Город,Женский,старше 60,Среднее специальное,18363
Брестская,Город,Женский,старше 60,Профессионально-техническое,3521
Брестская,Город,Женский,старше 60,Базовое / Среднее общее (школа),28151
Брестская,Город,Женский,старше 60,Другое,17913
Брестская,Село,Мужской,18-30,Высшее,2666
Брестская,Село,Мужской,18-30,Среднее специальное,8169
Брестская,Село,Мужской,18-30,Профессионально-техническое,8379
Брестская,Село,Мужской,18-30,Базовое / Среднее общее (школа),16973
Брестская,Село,Мужской,18-30,Другое,492
Брестская,Село,Мужской,31-40,Высшее,2481
Брестская,Село,Мужской,31-40,Среднее специальное,6891
Брестская,Село,Мужской,31-40,Профессионально-техническое,6611
Брестская,Село,Мужской,31-40,Базовое / Среднее общее (школа),15478
Брестская,Село,Мужской,31-40,Другое,427
Брестская,Село,Мужской,41-50,Высшее,3597
Брестская,Село,Мужской,41-50,Среднее специальное,8149
Брестская,Село,Мужской,41-50,Профессионально-техническое,7693
Брестская,Село,Мужской,41-50,Базовое / Среднее общее (школа),16594
Брестская,Село,Мужской,41-50,Другое,472
Брестская,Село,Мужской,51-60,Высшее,3646
Брестская,Село,Мужской,51-60,Среднее специальное,5754
Брестская,Село,Мужской,51-60,Профессионально-техническое,4880
Брестская,Село,Мужской,51-60,Базовое / Среднее общее (школа),15250
Брестская,Село,Мужской,51-60,Другое,633
Брестская,Село,Мужской,старше 60,Высшее,2567
Брестская,Село,Мужской,старше 60,Среднее специальное,3374
Брестская,Село,Мужской,старше 60,Профессионально-техническое,2025
Брестская,Село,Мужской,старше 60,Базовое / Среднее общее (школа),14757
Брестская,Село,Мужской,старше 60,Другое,19533
Брестская,Село,Женский,18-30,Высшее,4032
Брестская,Село,Женский,18-30,Среднее специальное,9152
Брестская,Село,Женский,18-30,Профессионально-техническое,4455
Брестская,Село,Женский,18-30,Базовое / Среднее общее (школа),12791
Брестская,Село,Женский,18-30,Другое,322
Брестская,Село,Женский,31-40,Высшее,3932
Брестская,Село,Женский,31-40,Среднее специальное,9840
Брестская,Село,Женский,31-40,Профессионально-техническое,4420
Брестская,Село,Женский,31-40,Базовое / Среднее общее (школа),11101
Брестская,Село,Женский,31-40,Другое,315
Брестская,Село,Женский,41-50,Высшее,4340
Брестская,Село,Женский,41-50,Среднее специальное,11705
Брестская,Село,Женский,41-50,Профессионально-техническое,4216
Брестская,Село,Женский,41-50,Базовое / Среднее общее (школа),11593
Брестская,Село,Женский,41-50,Другое,323
Брестская,Село,Женский,51-60,Высшее,3929
Брестская,Село,Женский,51-60,Среднее специальное,9102
Брестская,Село,Женский,51-60,Профессионально-техническое,2472
Брестская,Село,Женский,51-60,Базовое / Среднее общее (школа),14643
Брестская,Село,Женский,51-60,Другое,830
Брестская,Село,Женский,старше 60,Высшее,3380
Брестская,Село,Женский,старше 60,Среднее специальное,6097
Брестская,Село,Женский,старше 60,Профессионально-техническое,834
Брестская,Село,Женский,старше 60,Базовое / Среднее общее (школа),20205
Брестская,Село,Женский,старше 60,Другое,52880
Минская,Город,Мужской,18-30,Высшее,11357
Минская,Город,Мужской,18-30,Среднее специальное,25951
Минская,Город,Мужской,18-30,Профессионально-техническое,17336
Минская,Город,Мужской,18-30,Базовое / Среднее общее (школа),27834
Минская,Город,Мужской,18-30,Другое,410
Минская,Город,Мужской,31-40,Высшее,11236
Минская,Город,Мужской,31-40,Среднее специальное,18366
Минская,Город,Мужской,31-40,Профессионально-техническое,11161
Минская,Город,Мужской,31-40,Базовое / Среднее общее (школа),13522
Минская,Город,Мужской,31-40,Другое,165
Минская,Город,Мужской,41-50,Высшее,11295
Минская,Город,Мужской,41-50,Среднее специальное,18196
Минская,Город,Мужской,41-50,Профессионально-техническое,11759
Минская,Город,Мужской,41-50,Базовое / Среднее общее (школа),16997
Минская,Город,Мужской,41-50,Другое,144
Минская,Город,Мужской,51-60,Высшее,10559
Минская,Город,Мужской,51-60,Среднее специальное,13007
Минская,Город,Мужской,51-60,Профессионально-техническое,7944
Минская,Город,Мужской,51-60,Базовое / Среднее общее (школа),17892
Минская,Город,Мужской,51-60,Другое,213
Минская,Город,Мужской,старше 60,Высшее,8108
Минская,Город,Мужской,старше 60,Среднее специальное,8113
Минская,Город,Мужской,старше 60,Профессионально-техническое,3725
Минская,Город,Мужской,старше 60,Базовое / Среднее общее (школа),14927
Минская,Город,Мужской,старше 60,Другое,4930
Минская,Город,Женский,18-30,Высшее,15754
Минская,Город,Женский,18-30,Среднее специальное,25945
Минская,Город,Женский,18-30,Профессионально-техническое,8527
Минская,Город,Женский,18-30,Базовое / Среднее общее (школа),24044
Минская,Город,Женский,18-30,Другое,277
Минская,Город,Женский,31-40,Высшее,14908
Минская,Город,Женский,31-40,Среднее специальное,24801
Минская,Город,Женский,31-40,Профессионально-техническое,7632
Минская,Город,Женский,31-40,Базовое / Среднее общее (школа),10926
Минская,Город,Женский,31-40,Другое,151
Минская,Город,Женский,41-50,Высшее,15228
Минская,Город,Женский,41-50,Среднее специальное,29701
Минская,Город,Женский,41-50,Профессионально-техническое,9271
Минская,Город,Женский,41-50,Базовое / Среднее общее (школа),14825
Минская,Город,Женский,41-50,Другое,144
Минская,Город,Женский,51-60,Высшее,12276
Минская,Город,Женский,51-60,Среднее специальное,24022
Минская,Город,Женский,51-60,Профессионально-техническое,6507
Минская,Город,Женский,51-60,Базовое / Среднее общее (школа),19445
Минская,Город,Женский,51-60,Другое,287
Минская,Город,Женский,старше 60,Высшее,9682
Минская,Город,Женский,старше 60,Среднее специальное,17798
Минская,Город,Женский,старше 60,Профессионально-техническое,3415
Минская,Город,Женский,старше 60,Базовое / Среднее общее (школа),27729
Минская,Город,Женский,старше 60,Другое,14807
Минская,Село,Мужской,18-30,Высшее,5774
Минская,Село,Мужской,18-30,Среднее специальное,12998
Минская,Село,Мужской,18-30,Профессионально-техническое,11899
Минская,Село,Мужской,18-30,Базовое / Среднее общее (школа),24778
Минская,Село,Мужской,18-30,Другое,600
Минская,Село,Мужской,31-40,Высшее,4903
Минская,Село,Мужской,31-40,Среднее специальное,9062
Минская,Село,Мужской,31-40,Профессионально-техническое,8350
Минская,Село,Мужской,31-40,Базовое / Среднее общее (школа),17728
Минская,Село,Мужской,31-40,Другое,594
Минская,Село,Мужской,41-50,Высшее,6329
Минская,Село,Мужской,41-50,Среднее специальное,11124
Минская,Село,Мужской,41-50,Профессионально-техническое,10471
Минская,Село,Мужской,41-50,Базовое / Среднее общее (школа),22660
Минская,Село,Мужской,41-50,Другое,607
Минская,Село,Мужской,51-60,Высшее,6493
Минская,Село,Мужской,51-60,Среднее специальное,8026
Минская,Село,Мужской,51-60,Профессионально-техническое,6567
Минская,Село,Мужской,51-60,Базовое / Среднее общее (школа),19746
Минская,Село,Мужской,51-60,Другое,873
Минская,Село,Мужской,старше 60,Высшее,5269
Минская,Село,Мужской,старше 60,Среднее специальное,4950
Минская,Село,Мужской,старше 60,Профессионально-техническое,2947
Минская,Село,Мужской,старше 60,Базовое / Среднее общее (школа),18978
Минская,Село,Мужской,старше 60,Другое,17708
Минская,Село,Женский,18-30,Высшее,7810
Минская,Село,Женский,18-30,Среднее специальное,14607
Минская,Село,Женский,18-30,Профессионально-техническое,5967
Минская,Село,Женский,18-30,Базовое / Среднее общее (школа),19285
Минская,Село,Женский,18-30,Другое,362
Минская,Село,Женский,31-40,Высшее,6513
Минская,Село,Женский,31-40,Среднее специальное,13319
Минская,Село,Женский,31-40,Профессионально-техническое,5370
Минская,Село,Женский,31-40,Базовое / Среднее общее (школа),12366
Минская,Село,Женский,31-40,Другое,336
Минская,Село,Женский,41-50,Высшее,7430
Минская,Село,Женский,41-50,Среднее специальное,17442
Минская,Село,Женский,41-50,Профессионально-техническое,6497
Минская,Село,Женский,41-50,Базовое / Среднее общее (школа),14833
Минская,Село,Женский,41-50,Другое,436
Минская,Село,Женский,51-60,Высшее,6469
Минская,Село,Женский,51-60,Среднее специальное,13708
Минская,Село,Женский,51-60,Профессионально-техническое,4096
Минская,Село,Женский,51-60,Базовое / Среднее общее (школа),17503
Минская,Село,Женский,51-60,Другое,806
Минская,Село,Женский,старше 60,Высшее,6143
Минская,Село,Женский,старше 60,Среднее специальное,10926
Минская,Село,Женский,старше 60,Профессионально-техническое,1855
Минская,Село,Женский,старше 60,Базовое / Среднее общее (школа),33101
Минская,Село,Женский,старше 60,Другое,51129
Гомельская,Город,Мужской,18-30,Высшее,17427
Гомельская,Город,Мужской,18-30,Среднее специальное,31499
Гомельская,Город,Мужской,18-30,Профессионально-техническое,18989
Гомельская,Город,Мужской,18-30,Базовое / Среднее общее (школа),41344
Гомельская,Город,Мужской,18-30,Другое,708
Гомельская,Город,Мужской,31-40,Высшее,16520
Гомельская,Город,Мужской,31-40,Среднее специальное,25721
Гомельская,Город,Мужской,31-40,Профессионально-техническое,12705
Гомельская,Город,Мужской,31-40,Базовое / Среднее общее (школа),17105
Гомельская,Город,Мужской,31-40,Другое,497
Гомельская,Город,Мужской,41-50,Высшее,13242
Гомельская,Город,Мужской,41-50,Среднее специальное,25948
Гомельская,Город,Мужской,41-50,Профессионально-техническое,13903
Гомельская,Город,Мужской,41-50,Базовое / Среднее общее (школа),20709
Гомельская,Город,Мужской,41-50,Другое,369
Гомельская,Город,Мужской,51-60,Высшее,12842
Гомельская,Город,Мужской,51-60,Среднее специальное,18956
Гомельская,Город,Мужской,51-60,Профессионально-техническое,10499
Гомельская,Город,Мужской,51-60,Базовое / Среднее общее (школа),22097
Гомельская,Город,Мужской,51-60,Другое,493
Гомельская,Город,Мужской,старше 60,Высшее,10804
Гомельская,Город,Мужской,старше 60,Среднее специальное,10765
Гомельская,Город,Мужской,старше 60,Профессионально-техническое,5290
Гомельская,Город,Мужской,старше 60,Базовое / Среднее общее (школа),18209
Гомельская,Город,Мужской,старше 60,Другое,7172
Гомельская,Город,Женский,18-30,Высшее,27012
Гомельская,Город,Женский,18-30,Среднее специальное,31809
Гомельская,Город,Женский,18-30,Профессионально-техническое,10782
Гомельская,Город,Женский,18-30,Базовое / Среднее общее (школа),40645
Гомельская,Город,Женский,18-30,Другое,529
Гомельская,Город,Женский,31-40,Высшее,24275
Гомельская,Город,Женский,31-40,Среднее специальное,32081
Гомельская,Город,Женский,31-40,Профессионально-техническое,9473
Гомельская,Город,Женский,31-40,Базовое / Среднее общее (школа),13937
Гомельская,Город,Женский,31-40,Другое,365
Гомельская,Город,Женский,41-50,Высшее,19733
Гомельская,Город,Женский,41-50,Среднее специальное,37302
Гомельская,Город,Женский,41-50,Профессионально-техническое,11719
Гомельская,Город,Женский,41-50,Базовое / Среднее общее (школа),17727
Гомельская,Город,Женский,41-50,Другое,334
Гомельская,Город,Женский,51-60,Высшее,16572
Гомельская,Город,Женский,51-60,Среднее специальное,31169
Гомельская,Город,Женский,51-60,Профессионально-техническое,9796
Гомельская,Город,Женский,51-60,Базовое / Среднее общее (школа),24735
Гомельская,Город,Женский,51-60,Другое,558
Гомельская,Город,Женский,старше 60,Высшее,13286
Гомельская,Город,Женский,старше 60,Среднее специальное,22531
Гомельская,Город,Женский,старше 60,Профессионально-техническое,5671
Гомельская,Город,Женский,старше 60,Базовое / Среднее общее (школа),36134
Гомельская,Город,Женский,старше 60,Другое,22017
Гомельская,Село,Мужской,18-30,Высшее,1901
Гомельская,Село,Мужской,18-30,Среднее специальное,6499
Гомельская,Село,Мужской,18-30,Профессионально-техническое,7116
Гомельская,Село,Мужской,18-30,Базовое / Среднее общее (школа),14860
Гомельская,Село,Мужской,18-30,Другое,716
Гомельская,Село,Мужской,31-40,Высшее,1548
Гомельская,Село,Мужской,31-40,Среднее специальное,4822
Гомельская,Село,Мужской,31-40,Профессионально-техническое,5109
Гомельская,Село,Мужской,31-40,Базовое / Среднее общее (школа),12082
Гомельская,Село,Мужской,31-40,Другое,505
Гомельская,Село,Мужской,41-50,Высшее,2020
Гомельская,Село,Мужской,41-50,Среднее специальное,6409
Гомельская,Село,Мужской,41-50,Профессионально-техническое,6949
Гомельская,Село,Мужской,41-50,Базовое / Среднее общее (школа),15213
Гомельская,Село,Мужской,41-50,Другое,534
Гомельская,Село,Мужской,51-60,Высшее,2403
Гомельская,Село,Мужской,51-60,Среднее специальное,4970
Гомельская,Село,Мужской,51-60,Профессионально-техническое,5066
Гомельская,Село,Мужской,51-60,Базовое / Среднее общее (школа),13500
Гомельская,Село,Мужской,51-60,Другое,759
Гомельская,Село,Мужской,старше 60,Высшее,1930
Гомельская,Село,Мужской,старше 60,Среднее специальное,2988
Гомельская,Село,Мужской,старше 60,Профессионально-техническое,1866
Гомельская,Село,Мужской,старше 60,Базовое / Среднее общее (школа),11360
Гомельская,Село,Мужской,старше 60,Другое,13701
Гомельская,Село,Женский,18-30,Высшее,3268
Гомельская,Село,Женский,18-30,Среднее специальное,7381
Гомельская,Село,Женский,18-30,Профессионально-техническое,4638
Гомельская,Село,Женский,18-30,Базовое / Среднее общее (школа),11945
Гомельская,Село,Женский,18-30,Другое,491
Гомельская,Село,Женский,31-40,Высшее,2810
Гомельская,Село,Женский,31-40,Среднее специальное,7158
Гомельская,Село,Женский,31-40,Профессионально-техническое,3719
Гомельская,Село,Женский,31-40,Базовое / Среднее общее (школа),8807
Гомельская,Село,Женский,31-40,Другое,383
Гомельская,Село,Женский,41-50,Высшее,2934
Гомельская,Село,Женский,41-50,Среднее специальное,9562
Гомельская,Село,Женский,41-50,Профессионально-техническое,4680
Гомельская,Село,Женский,41-50,Базовое / Среднее общее (школа),10336
Гомельская,Село,Женский,41-50,Другое,382
Гомельская,Село,Женский,51-60,Высшее,2660
Гомельская,Село,Женский,51-60,Среднее специальное,7650
Гомельская,Село,Женский,51-60,Профессионально-техническое,2966
Гомельская,Село,Женский,51-60,Базовое / Среднее общее (школа),11894
Гомельская,Село,Женский,51-60,Другое,765
Гомельская,Село,Женский,старше 60,Высшее,2443
Гомельская,Село,Женский,старше 60,Среднее специальное,5151
Гомельская,Село,Женский,старше 60,Профессионально-техническое,1178
Гомельская,Село,Женский,старше 60,Базовое / Среднее общее (школа),18157
Гомельская,Село,Женский,старше 60,Другое,39068
Витебская,Город,Мужской,18-30,Высшее,12933
Витебская,Город,Мужской,18-30,Среднее специальное,27954
Витебская,Город,Мужской,18-30,Профессионально-техническое,16713
Витебская,Город,Мужской,18-30,Базовое / Среднее общее (школа),34311
Витебская,Город,Мужской,18-30,Другое,475
Витебская,Город,Мужской,31-40,Высшее,12916
Витебская,Город,Мужской,31-40,Среднее специальное,22004
Витебская,Город,Мужской,31-40,Профессионально-техническое,11216
Витебская,Город,Мужской,31-40,Базовое / Среднее общее (школа),14740
Витебская,Город,Мужской,31-40,Другое,293
Витебская,Город,Мужской,41-50,Высшее,12628
Витебская,Город,Мужской,41-50,Среднее специальное,21872
Витебская,Город,Мужской,41-50,Профессионально-техническое,12050
Витебская,Город,Мужской,41-50,Базовое / Среднее общее (школа),16570
Витебская,Город,Мужской,41-50,Другое,186
Витебская,Город,Мужской,51-60,Высшее,11455
Витебская,Город,Мужской,51-60,Среднее специальное,16799
Витебская,Город,Мужской,51-60,Профессионально-техническое,9028
Витебская,Город,Мужской,51-60,Базовое / Среднее общее (школа),18374
Витебская,Город,Мужской,51-60,Другое,347
Витебская,Город,Мужской,старше 60,Высшее,9581
Витебская,Город,Мужской,старше 60,Среднее специальное,10265
Витебская,Город,Мужской,старше 60,Профессионально-техническое,4758
Витебская,Город,Мужской,старше 60,Базовое / Среднее общее (школа),16820
Витебская,Город,Мужской,старше 60,Другое,6765
Витебская,Город,Женский,18-30,Высшее,20078
Витебская,Город,Женский,18-30,Среднее специальное,28292
Витебская,Город,Женский,18-30,Профессионально-техническое,10249
Витебская,Город,Женский,18-30,Базовое / Среднее общее (школа),32168
Витебская,Город,Женский,18-30,Другое,245
Витебская,Город,Женский,31-40,Высшее,19354
Витебская,Город,Женский,31-40,Среднее специальное,28144
Витебская,Город,Женский,31-40,Профессионально-техническое,8594
Витебская,Город,Женский,31-40,Базовое / Среднее общее (школа),9079
Витебская,Город,Женский,31-40,Другое,165
Витебская,Город,Женский,41-50,Высшее,18830
Витебская,Город,Женский,41-50,Среднее специальное,32802
Витебская,Город,Женский,41-50,Профессионально-техническое,9605
Витебская,Город,Женский,41-50,Базовое / Среднее общее (школа),12333
Витебская,Город,Женский,41-50,Другое,166
Витебская,Город,Женский,51-60,Высшее,15415
Витебская,Город,Женский,51-60,Среднее специальное,29866
Витебская,Город,Женский,51-60,Профессионально-техническое,9040
Витебская,Город,Женский,51-60,Базовое / Среднее общее (школа),18094
Витебская,Город,Женский,51-60,Другое,339
Витебская,Город,Женский,старше 60,Высшее,12843
Витебская,Город,Женский,старше 60,Среднее специальное,22527
Витебская,Город,Женский,старше 60,Профессионально-техническое,5840
